"Hi! This is the spreadsheet for amberpica's unoffical ""early letters"" post. (I am not amberpica, just a friendly anonymous Yuletider.) There will be a 2nd letters post starting on the 17th. Happy Yuletiding!",,,,,,,,
"[Newbies: Do post your letter again in the 2nd letters post on the 17th! :) This spreadsheet will stay up, but it's okay to post in that letters post as well. And welcome to Yuletide. <3]",,,,,,,,
,,"""Early Letters"" Post: http://yuletide.livejournal.com/1203132.html",,,,,,
,AO3 Name,Yuletide Letter,Fandom,Fandom,Fandom,Fandom,Fandom,Fandom
Page 1,JayGreen,http://xs4i.livejournal.com/584.html,Breaking Bad,Brooklyn Nine-Nine,Hunter x Hunter (2011 Anime),Daria (Cartoon),Marvel Ultimates,Parks & Recreation
,anabel,http://anabelissima.livejournal.com/1032.html,Lord Peter Wimsey - Dorothy L. Sayers,Miss Marple - Agatha Christie,Guardians of the Galaxy (Movies),Lesbian Royalty RPF,Tennis RPF,
,accidental_zombie,http://accidental-zombie.dreamwidth.org/1589.html,Dissidia: Final Fantasy,Transformers: Shattered Glass,Valkyrie Profile: Lenneth,,,
,lily_castleton,http://lily-castleton.livejournal.com/1500.html,FAKE (manga),Final Fantasy III,Drag-On Dragoon 3 | Drakengard 3,,,
,Naraht,http://naraht.dreamwidth.org/580403.html,The Charioteer - Mary Renault,The Marlows - Antonia Forest,Mary Renault RPF,Purposes of Love - Mary Renault,Return to Night - Mary Renault,
,mk_tortie,http://mk-tortie.livejournal.com/205328.html,Persona 3,This Ain't California (2012),Sabrina the Teenage Witch (TV),Journey (Video Game 2012),,
,terra_branford,http://m-h-remixes.livejournal.com/2286.html,Thundercats (2011),The Venture Bros.,Final Fantasy VI,,,
,boosette,http://boosette.livejournal.com/1428307.html,Adventures of the Galaxy Rangers,Anne of Green Gables,Old Kingdom - Garth Nix,The Green Hornet (TV),,
,fairy_flies,http://fairy-flies.livejournal.com/733.html,Bravely Default,Five Nights at Freddy's,She-Ra: Princess of Power,,,
,zeen,http://moetushie.dreamwidth.org/311832.html,Withnail and I (1986),Belle (2013),The Charioteer - Mary Renault,Leopold and Loeb RPF,Maurice - E. M. Forster,
,merryghoul,http://merryghoul.dreamwidth.org/280960.html,The Blacklist (TV),Burn Notice,Fallen London | Echo Bazaar,In the Flesh (TV),"Nike ""The Last Game"" Commercial",Scandal (TV)
,robot_jesus,http://zombie-robot-jesus.dreamwidth.org/303.html,She-ra: Princess of Power,The Transformers (IDW Generation One),Final Fantasy V,,,
,youjik33,http://youjik33.livejournal.com/87115.html,Royal Tenenbaums (2001),Tropic Thunder (2008),The Secret Life of Walter Mitty (2013),Zoolander (2001),The Watch (2012),The Life Aquatic with Steve Zissou (2004)
,Hokuto,http://hokuton-punch.dreamwidth.org/1032829.html,Shoujo Kakumei Utena | Revolutionary Girl Utena,Colossus: The Forbin Project (1970),Transformers: Rescue Bots (may be removed),Imperial Radch - Ann Leckie,Marathon (Computer Games),
,franzeska,http://franzeska.dreamwidth.org/tag/yuletide+2014+letter,Veritas: The Quest,Walt Longmire Mysteries - Craig Johnson,I Spy (1965),Smoke Signals (1998),Grimm (TV),Framed (TV 1992)
,htbthomas,http://htbthomas.tumblr.com/post/99762670070/,A to Z (TV),The Flash (TV 2014),Forever (TV),The Listener (TV),,
,jaegecko,http://jae.dreamwidth.org/1434051.html,Bron | Broen | The Bridge,Lone Star (TV),חטופים | Hatufim | Prisoners of War,,,
