Checked out by: Neb,PLEASE READ: MISSING/EDITED COMMENTS,Letter post:,http://yuletide.livejournal.com/1206311.html,Go to tab 2 to see letters by fandom and tab 3 to see the pinch hitters' requests!,,,,
,AO3 Name,Link to LJ Comment,Fandom,Fandom,Fandom,Fandom,Fandom,Fandom
page 1,Quillori,http://yuletide.livejournal.com/1206311.html?thread=18852903#t18852903,Ancient Egyptian Religion,Chinese Mythology,The Prydwen Sails Again (song),Liáo zhâi zhì yì | Strange Tales from a Chinese Studio - Pú Sônglíng,كتاب ألف ليلة وليلة | Kitaab 'alf layla wa-layla | One Thousand and One Nights,
,Nerissa,http://yuletide.livejournal.com/1206311.html?thread=18853159#t18853159,Newsflesh Trilogy - Mira Grant,Hansel and Gretel: Witch Hunters (2013),On the Run - Gordon Korman,All I Want for Christmas (1991),Round and Round - Selena Gomez Music Video,
,yaseanne,http://yuletide.livejournal.com/1206311.html?thread=18853415#t18853415,The Secret Life of Walter Mitty (2013),Jurassic Park (Movies),Fallen London | Echo Bazaar,,,
,donutsweeper,http://yuletide.livejournal.com/1206311.html?thread=18854439#t18854439,The Big Valley,Heartland (TV),Nero Wolfe - Rex Stout,The Thing From Another World (1951),,
,cookinguptales,http://yuletide.livejournal.com/1206311.html?thread=18854695#t18854695,Daria (Cartoon),Hark! A Vagrant,Bend It Like Beckham (2002),Hot Fuzz (2007),The Muppet Show,"Cornetto ""40 - love"" Commercial"
,accidental_zombie,http://yuletide.livejournal.com/1206311.html?thread=18855207#t18855207,Dissidia: Final Fantasy,Transformers: Shattered Glass,Valkyrie Profile: Lenneth,,,
,CousinShelley (Cousin Shelley),http://yuletide.livejournal.com/1206311.html?thread=18855719#t18855719,Touching Evil (US),Sleepy Hollow (TV),Legit (TV 2013),House of Cards (US TV),The Blacklist (TV),Hemlock Grove
,robot_jesus,http://yuletide.livejournal.com/1206311.html?thread=18855975#t18855975,She-ra: Princess of Power,The Transformers (IDW Generation One),Final Fantasy V,,,
,Doranwen,http://yuletide.livejournal.com/1206311.html?thread=18856231#t18856231,Sue Thomas: F.B.Eye,1-800-Missing (TV),Tomorrow When The War Began (2010),Stick It (2006),Women's Murder Club (TV),Walker Texas Ranger (TV)
,merryghoul,http://yuletide.livejournal.com/1206311.html?thread=18856743#t18856743,The Blacklist (TV),Burn Notice,Fallen London | Echo Bazaar,In the Flesh (TV),"Nike ""The Last Game"" Commercial",Scandal (TV)
,who_la_hoop,http://yuletide.livejournal.com/1206311.html?thread=18856999#t18856999,Fallen London | Echo Bazaar,Jaguar British Villains Commercial,Jeeves - P.G. Wodehouse,La Belle Et La Bête | Beauty and the Beast,Norse Religion and Lore,
,fairy_flies,http://yuletide.livejournal.com/1206311.html?thread=18858023#t18858023,Bravely Default,Five Nights at Freddy's,She-Ra: Princess of Power,,,
,terra_branford,http://yuletide.livejournal.com/1206311.html?thread=18858279#t18858279,Thundercats (2011),The Venture Bros.,Final Fantasy VI,,,
,voksen,http://yuletide.livejournal.com/1206311.html?thread=18858535#t18858535,Les Misérables (Dallas 2014),Broadway RPF,German National Football Team RPF,,,
,TLvop,http://yuletide.livejournal.com/1206311.html?thread=18858791#t18858791,Archer's Goon - Diana Wynne Jones,Eight Days of Luke - Diana Wynne Jones,Gunnerkrigg Court,The Three Musketeers (2011),,
,lily_castleton,http://yuletide.livejournal.com/1206311.html?thread=18859047#t18859047,FAKE (manga),Final Fantasy III,Drag-On Dragoon 3 | Drakengard 3,,,
,alliterate,http://yuletide.livejournal.com/1206311.html?thread=18859303#t18859303,The 100 (TV),Captain America (Movies) RPF,A Place of Greater Safety - Hilary Mantel,Sirens (TV 2014),X-23 (Comic),
,nausicaa,http://yuletide.livejournal.com/1206311.html?thread=18859559#t18859559,Strange Frame: Love & Sax (2012),Brooklyn Nine-Nine (TV),Lighthouse - Hush Sound (Song),Scooby Doo! Mystery Incorporated (TV 2010),,
